data,preco
2021-10-14,3699.9
2021-10-16,3699.9
2021-10-16,3699.9
2021-10-19,3699.9
2021-10-28,3699.9
2021-10-28,3699.9
2021-10-29,3699.9
2021-11-01,3699.9
2021-11-03,3699.9
2021-11-03,3699.9
2021-11-05,3699.9
2021-11-09,3699.9
2021-11-09,3699.9
2021-11-10,3699.9
2021-11-12,3899.9
2021-11-14,3899.9
2021-11-22,3899.9
2021-11-26,3899.9
2021-12-08,3799.9
2021-12-13,3799.9
2021-12-13,3799.9
2021-12-13,3799.9
2021-12-13,3799.9
2021-12-14,3799.9
2021-12-14,3799.9
2021-12-14,3699.9
2021-12-14,3699.9
2021-12-14,3599.9
2021-12-21,3599.9
2021-12-21,3599.9
2021-12-24,3599.9
2021-12-28,3599.9
2022-01-07,3599.9
2022-01-28,3599.9
2022-02-19,3399.9
2022-02-21,3399.9
2022-02-22,3299.9
2022-02-22,3249.9
2022-02-23,3249.9
2022-02-24,3249.9
2022-03-17,3149.9
2022-03-28,3149.9
2022-04-02,3149.9
2022-04-11,3149.9
2022-04-11,3149.9
2022-04-26,3499.9
2022-05-02,2899.9
2022-05-07,2899.9
2022-11-19,2299.99
2022-11-23,1799.99
2022-11-24,1708.99
2022-11-29,1708.99
2022-11-29,1799.99
2022-12-08,2099.99
2022-12-30,2207.99
2023-04-09,1999.99
2023-04-28,1889.99
2023-08-23,1499.99
2023-08-23,1889.99
2023-10-27,2008.05
2023-11-04,1279.99
2023-11-24,1199.99
2024-01-25,2020.46
2024-01-26,2059.99
2024-05-27,2154.1
2024-06-24,1756.75
2024-07-15,1860.09
2024-07-15,1756.75
2024-07-17,1756.76
2024-07-28,1756.75
2024-07-30,1799.99
2024-09-30,1398.99
2024-10-01,1799.99
2024-11-01,1398.99
2024-11-01,1799.99
2024-11-16,1398.99
2024-12-03,1299.99
2024-12-04,1398.99
2024-12-06,1449.99
2024-12-23,1479.99
2024-12-26,1449.99
2025-01-02,1429.99
2025-01-06,1499.99
2025-01-14,1399.99
2025-01-16,1499.99
2025-01-21,1479.9
2025-02-06,1559.99
2025-02-27,1529.99
2025-03-05,1599.99
2025-04-04,1699.99
2025-04-07,1599.9
2025-04-08,1699.9
2025-04-10,1799.9
